timestamp,command
1760168911.9232574,F
1760168912.2064946,R
1760168912.2168891,F
1760168912.3455646,L
1760168912.639428,F
1760168913.0416143,L
1760168913.3382344,F
1760168913.5147665,L
1760168913.7715945,F
1760168914.0092046,L
1760168914.1044302,F
1760168914.1464157,L
1760168914.216261,F
1760168917.8759599,L
1760168918.104357,F
1760168918.6395705,L
1760168918.9387908,F
1760168919.3365195,L
1760168919.639403,F
1760168920.0374641,L
1760168920.2723024,F
1760168920.83827,L
1760168921.036911,F
1760168921.1014664,L
1760168921.1412828,F
1760168921.7079842,L
1760168921.9406435,F
1760168922.1068685,R
1760168922.2046835,F
1760168922.6415005,L
1760168922.7042468,F
1760168922.7403781,L
1760168922.773144,F
1760168922.8421125,L
1760168922.904779,F
1760168923.7390718,L
1760168923.9023423,F
1760168924.7037585,S
1760168924.7476265,F
1760168929.869694,L
1760168929.9991505,F
1760168932.199526,L
1760168932.3324184,F
1760168934.1324062,S
